"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"marker_pred","marker_pred",750,0.22,0.14,0.0453333333333333,0.0933333333333333,0,0.019008547008547
"marker_pred","marker_pred",750,0.23,0.14,0.0453333333333333,0.0893333333333333,0,0.0186493506493507
"marker_pred","marker_pred",750,0.24,0.14,0.0426666666666667,0.0746666666666667,0,0.0190877192982456
"marker_pred","marker_pred",750,0.25,0.14,0.0386666666666667,0.068,0,0.016
"marker_pred","marker_pred",750,0.26,0.14,0.0346666666666667,0.0613333333333333,0,0.0131171171171171
"marker_pred","marker_pred",750,0.27,0.14,0.0333333333333333,0.0546666666666667,0,0.0131141552511416
"marker_pred","marker_pred",750,0.28,0.14,0.0333333333333333,0.0506666666666667,0,0.0136296296296296
"marker_pred","marker_pred",750,0.29,0.14,0.0306666666666667,0.0493333333333333,0,0.0105164319248826
"marker_pred","marker_pred",750,0.3,0.14,0.0306666666666667,0.0413333333333333,0,0.012952380952381
"marker_pred","marker_pred",750,0.31,0.14,0.0306666666666667,0.04,0,0.012695652173913
"marker_pred","marker_pred",750,0.32,0.14,0.0306666666666667,0.0386666666666667,0,0.0124705882352941
"marker_pred","marker_pred",750,0.33,0.14,0.028,0.036,0,0.0102686567164179
"marker_pred","marker_pred",750,0.34,0.14,0.0266666666666667,0.0346666666666667,0,0.00880808080808081
"marker_pred","marker_pred",750,0.35,0.14,0.024,0.032,0,0.00676923076923077
"marker_pred","marker_pred",750,0.36,0.14,0.024,0.0266666666666667,0,0.009
"marker_pred","marker_pred",750,0.37,0.14,0.0213333333333333,0.0253333333333333,0,0.00645502645502646
"marker_pred","marker_pred",750,0.38,0.14,0.02,0.0213333333333333,0,0.0069247311827957
"marker_pred","marker_pred",750,0.39,0.14,0.0186666666666667,0.02,0,0.00587978142076503
"marker_pred","marker_pred",750,0.4,0.14,0.0173333333333333,0.016,0,0.00666666666666667
"marker_pred","marker_pred",750,0.41,0.14,0.0173333333333333,0.016,0,0.00621468926553673
"marker_pred","marker_pred",750,0.42,0.14,0.0173333333333333,0.016,0,0.00574712643678161
"marker_pred","marker_pred",750,0.43,0.14,0.0173333333333333,0.016,0,0.00526315789473685
"marker_pred","marker_pred",750,0.44,0.14,0.0173333333333333,0.0133333333333333,0,0.00685714285714286
"marker_pred","marker_pred",750,0.45,0.14,0.0173333333333333,0.012,0,0.00751515151515152
"marker_pred","marker_pred",750,0.46,0.14,0.016,0.012,0,0.00577777777777778
"marker_pred","marker_pred",750,0.47,0.14,0.016,0.0106666666666667,0,0.00654088050314466
"marker_pred","marker_pred",750,0.48,0.14,0.016,0.0106666666666667,0,0.00615384615384616
"marker_pred","marker_pred",750,0.49,0.14,0.016,0.00933333333333333,0,0.00703267973856209
"marker_pred","marker_pred",750,0.5,0.14,0.0146666666666667,0.00933333333333333,0,0.00533333333333334
"combo_pred","combo_pred",750,0,0.14,0.14,0.86,0,0.14
"combo_pred","combo_pred",750,0.01,0.14,0.14,0.86,0,0.131313131313131
"combo_pred","combo_pred",750,0.02,0.14,0.14,0.86,0,0.122448979591837
"combo_pred","combo_pred",750,0.03,0.14,0.14,0.86,0,0.11340206185567
"combo_pred","combo_pred",750,0.04,0.14,0.14,0.86,0,0.104166666666667
"combo_pred","combo_pred",750,0.05,0.14,0.14,0.86,0,0.0947368421052632
"combo_pred","combo_pred",750,0.06,0.14,0.136,0.772,0,0.0867234042553192
"combo_pred","combo_pred",750,0.07,0.14,0.122666666666667,0.614666666666667,0,0.0764014336917563
"combo_pred","combo_pred",750,0.08,0.14,0.114666666666667,0.482666666666667,0,0.0726956521739131
"combo_pred","combo_pred",750,0.09,0.14,0.112,0.408,0,0.0716483516483517
"combo_pred","combo_pred",750,0.1,0.14,0.105333333333333,0.353333333333333,0,0.0660740740740741
"combo_pred","combo_pred",750,0.11,0.14,0.104,0.310666666666667,0,0.0656029962546817
"combo_pred","combo_pred",750,0.12,0.14,0.0986666666666667,0.276,0,0.0610303030303031
"combo_pred","combo_pred",750,0.13,0.14,0.0893333333333333,0.250666666666667,0,0.0518773946360153
"combo_pred","combo_pred",750,0.14,0.14,0.088,0.221333333333333,0,0.051968992248062
"combo_pred","combo_pred",750,0.15,0.14,0.08,0.204,0,0.044
"combo_pred","combo_pred",750,0.16,0.14,0.0733333333333333,0.18,0,0.0390476190476191
"combo_pred","combo_pred",750,0.17,0.14,0.0706666666666667,0.157333333333333,0,0.0384417670682731
"combo_pred","combo_pred",750,0.18,0.14,0.0666666666666667,0.144,0,0.0350569105691057
"combo_pred","combo_pred",750,0.19,0.14,0.064,0.136,0,0.0320987654320988
"combo_pred","combo_pred",750,0.2,0.14,0.0586666666666667,0.128,0,0.0266666666666667
"combo_pred","combo_pred",750,0.21,0.14,0.0586666666666667,0.122666666666667,0,0.0260590717299578
"combo_pred","combo_pred",750,0.22,0.14,0.0573333333333333,0.109333333333333,0,0.0264957264957265
"combo_pred","combo_pred",750,0.23,0.14,0.0546666666666667,0.101333333333333,0,0.0243982683982684
"combo_pred","combo_pred",750,0.24,0.14,0.0506666666666667,0.096,0,0.0203508771929825
"combo_pred","combo_pred",750,0.25,0.14,0.0493333333333333,0.0853333333333333,0,0.0208888888888889
"combo_pred","combo_pred",750,0.26,0.14,0.048,0.0773333333333333,0,0.0208288288288288
"combo_pred","combo_pred",750,0.27,0.14,0.0453333333333333,0.0733333333333333,0,0.0182100456621005
"combo_pred","combo_pred",750,0.28,0.14,0.0413333333333333,0.0586666666666667,0,0.0185185185185185
"combo_pred","combo_pred",750,0.29,0.14,0.0413333333333333,0.0573333333333333,0,0.0179154929577465
"combo_pred","combo_pred",750,0.3,0.14,0.0373333333333333,0.0533333333333333,0,0.0144761904761905
"combo_pred","combo_pred",750,0.31,0.14,0.0346666666666667,0.0506666666666667,0,0.0119033816425121
"combo_pred","combo_pred",750,0.32,0.14,0.0333333333333333,0.0506666666666667,0,0.00949019607843137
"combo_pred","combo_pred",750,0.33,0.14,0.032,0.0426666666666667,0,0.0109850746268657
"combo_pred","combo_pred",750,0.34,0.14,0.0266666666666667,0.036,0,0.00812121212121212
"combo_pred","combo_pred",750,0.35,0.14,0.0266666666666667,0.0333333333333333,0,0.00871794871794872
"combo_pred","combo_pred",750,0.36,0.14,0.024,0.0266666666666667,0,0.009
"combo_pred","combo_pred",750,0.37,0.14,0.02,0.02,0,0.00825396825396825
"combo_pred","combo_pred",750,0.38,0.14,0.0186666666666667,0.02,0,0.00640860215053764
"combo_pred","combo_pred",750,0.39,0.14,0.0186666666666667,0.0173333333333333,0,0.00758469945355191
"combo_pred","combo_pred",750,0.4,0.14,0.0173333333333333,0.016,0,0.00666666666666667
"combo_pred","combo_pred",750,0.41,0.14,0.0173333333333333,0.0133333333333333,0,0.0080677966101695
"combo_pred","combo_pred",750,0.42,0.14,0.0173333333333333,0.012,0,0.00864367816091954
"combo_pred","combo_pred",750,0.43,0.14,0.0173333333333333,0.012,0,0.00828070175438597
"combo_pred","combo_pred",750,0.44,0.14,0.016,0.0106666666666667,0,0.00761904761904762
"combo_pred","combo_pred",750,0.45,0.14,0.016,0.0106666666666667,0,0.00727272727272727
"combo_pred","combo_pred",750,0.46,0.14,0.016,0.0106666666666667,0,0.00691358024691358
"combo_pred","combo_pred",750,0.47,0.14,0.0146666666666667,0.00933333333333333,0,0.00638993710691824
"combo_pred","combo_pred",750,0.48,0.14,0.0146666666666667,0.00933333333333333,0,0.00605128205128205
"combo_pred","combo_pred",750,0.49,0.14,0.012,0.00933333333333333,0,0.0030326797385621
"combo_pred","combo_pred",750,0.5,0.14,0.012,0.00933333333333333,0,0.00266666666666667
